ProductID,Products,RetailPrice,Category,Supplier,,SalesRepID,SalesRep,Region
1,Quad,43.95,Freestyle,Gel Boomerangs,,1,Sioux Radcoolinator,NW
2,Yanaki,25.95,Beginner,Colorado Boomerangs,,2,Tyrone Hunt,NE
3,Eagle,19.95,Advanced,Channel Craft,,3,Chantel Zoya,SW
4,Bellen,24.95,Beginner,Gel Boomerangs,,4,Chin Pham,SE
5,Aspen,24.95,Beginner,Colorado Boomerangs,,5,Diego Vasque,MW
6,Carlota,24.95,Freestyle,Gel Boomerangs,,6,Vannessa Deloach,W
7,Sunshine,19.95,Competition,Gel Boomerangs,,7,Shon Stein,NW
8,Sunset,25.95,Competition,Gel Boomerangs,,8,Tomi Benton,NE
9,Beaut,35.95,Long Distance,Colorado Boomerangs,,9,Ghislaine Stidham,SW
10,Kangaroo,24.95,Advanced,Channel Craft,,10,Yoshiko Murillo,SE
11,Elevate,35.95,Long Distance,Gel Boomerangs,,11,Hoyt Potts,MW
12,Flattop,25.95,Advanced,Colorado Boomerangs,,12,Alysha Dewitt,W
13,Vrang,12.95,Competition,Darnell Booms,,13,Claudine Dupuis,NW
14,TriFly,12.95,Freestyle,Darnell Booms,,14,JaQuell Spring,NE
15,NaturalElbow,35.95,Competition,Darnell Booms,,15,Ramonita Babcock,SW
16,LongRang,41.95,Long Distance,Channel Craft,,16,Janyce Betancourt,SE
,,,,,,17,Rhiannon Cathey,MW
,,,,,,18,Dominica Ordonez,W
,,,,,,19,Shihara Burchfield,NW
,,,,,,20,Neida Ashe,NE
,,,,,,21,Marylouise Halverson,MW
,,,,,,22,Naoma Bloom,NW
,,,,,,23,JoJo Jones,W
,,,,,,24,Dean Washington,W
,,,,,,25,Kiki Lim,W
